id,name
1,Базис
2,AFI Development
3,Донстрой
4,Сити XXI век
5,ПИК
6,Торос
7,Barkli
8,МонАрх
9,Мортон (ПИК)
10,Vesper
11,Галс Девелопмент
12,Крост
13,Прима Мех
14,Capital Group
15,KR Properties
16,Корунд XXI
17,Ташир
18,KVS Group
19,РТИ
20,Эко-Тепло
21,Mos City Group
22,ГРАС
23,Банк Москвы
24,ФЦСР
25,Финальянс
26,Midland Development
27,Промстройинвест-М
28,State Development
29,МФС-6
30,Rasen
31,Главстрой Девелопмент
32,РЕСТАВРАЦИЯ Н
33,Lexion Development
34,Флэт и Ко
35,Мост
36,БСК
37,Инфайком
38,Sminex
39,Santa Real Estate
40,Интеко
41,Платан
42,Алвек
43,Столица
44,Снегири
45,Рубин Риелти
46,Stone Hedge
47,MR Group
48,Легион Девелопмент
49,Шатер Девелопмент
50,Полир М
51,СК Дубровка
52,Лидер Групп
53,Териберский берег
54,А101 Девелопмент
55,MD Group
56,Инвесттраст
57,Абсолют
58,МИЦ
59,Rossmils
60,Авеста
61,УК Динамо
62,УНР 494
63,Эталон-инвест
64,Turandot Residence
65,Тетрис
66,Столичный зодчий
67,Insigma
68,Мангазея Девелопмент
69,Асмато
70,Оргстройинвест
71,Стройпромавтоматика
72,RTD GROUP
73,Сова Холдинг
74,Мытищинская СК
75,Триумф ЭК
76,Центр 2000
77,Конструктор
78,Люная Риэл Естейт
79,СУ-155/Российский капитал
80,ФСК Лидер
81,RDI
82,Ingrad (проекты ОПИН)
83,Ingrad
84,Жилищный капитал
85,Эксперт
86,Финансконсалт
87,МСМ-5
88,Облстрой
89,Арс
90,Комстрин
91,Гефест
92,СУ-22
93,ГК ПЖИ
94,ЛСР
95,Ривалд
96,Желдорипотека
97,Строймонтаж
98,Долгопрудненская строительная компания
99,СМУ МОИС-1
100,Mebe Development
101,Индустрия проектов
102,Арт-Инвест Групп
103,Недвижимость и Право
104,Альфа Бест Пушкино
105,DM Holding
106,Премьер Девелопмент
107,Инвестстройрегион
108,Трасткапстрой
109,Гранель
110,НИСКОМ
111,Континент Холдинг
112,Imagine Estate
113,СК Староконюшенный 45
114,Жилстройфинанс
115,СК Юнити
116,ЮИТ
117,Профи Инвест
118,Монолит
119,САС Инвест
120,ГВСУ Центр
121,Coalco
122,Град
123,Технострой
124,БС Групп
125,ГК Сапсан
126,Декра
127,Жилинвест 21
128,Ленинвест
129,СК Белая дача
130,Стройтэкс
131,Система Бриз
132,Домстрой
133,Стройсоюз
134,Трест Мособлстрой-6
135,СтройВест
136,Атлант
137,МОСТ 11
138,СК МАЯК
139,Ингеоком
140,Главградострой
141,Ремикс
142,Бэсткон
143,ПАРК
144,ЭКЗ
145,Жилстрой Миллениум
146,Кама Проект
147,ИП Альянс
148,Декор
149,Хант Холдинг
150,Мастер Хауз
151,Березовец
152,ИК Реал Строй
153,Русский монолит
154,Химки Групп
155,Перспектива
156,Панавто
157,Строительное объединение региональное
158,МИБ Инвестиции
159,Академспортстрой
160,Руполис
161,Стройарсенал
162,Содружество
163,Kaskad Family
164,Конти
165,Sezar Group
166,Rosinka
167,Корпорация ВИТ
168,Верейская Плаза
169,КРТ
170,Ойкумена
171,Монолевер-Трейд
172,Тройка РЭД
173,Лидер Инвест
174,Мартин
175,Бэл Девелопмент
176,ЦентрСтрой
177,Ферро-Строй
178,Galaxy Group
179,АМ Девелопмент
180,Инвестпроект МСК
181,Дейстар Групп
182,Веста Групп
183,Рассвет
184,СБМ Инвест
185,Rezidential
186,СК Лосиный остров
187,Соцпромстрой
188,ГК Монолит
189,Ikon Development
190,Контакт Строй
191,Гюнай
192,Группа ПСН
193,Бизнеслэнд
194,Интерфлора
195,Стройтек
196,Скайград
197,Жилищная компания
198,Стройинвест
199,КМ Констракшн
200,СК Метрополис Лофт
201,Лев
202,ИСК Максимум
203,Афина ЛТД
204,Старт СК
205,Лемминкяйнен
206,AEON Corporation
207,ДСК-1 (ФСК Лидер)
208,СК Альтаир
209,Корпорация ТЭН
210,ИФД Капитал
211,Пересвет
212,Пионер
213,КП УГС
214,Coldy
215,СФД
216,Основа
217,СМР Строй
218,Казачий торговый дом
219,Еврострой
220,Гардтекс
221,Юасстрой
222,Д-Инвест
223,Горизонт Девелопмент
224,Афинастрой
225,СК Новый бульвар (Долгопрудный)
226,Рос Евро Сити
227,Кранека
228,Капитал
229,Деметра Групп
230,Ринго-Трэйд
