id,developer_id,housing_complex_id,name,name_corpus,address,house_type,house_class,decoration,agreement,date_complete,stage
1411,1,529,О7 корп. 1-5,корпус 1-5,"Россия, Москва, Озёрная улица, 9",Квартиры,комфорт,0 - Нет,ЖСК,1 кв 2017,сдан_ГК
1418,2,533,Аквамарин,корпус 1,"Россия, Москва, Озерковская набережная, 26",Квартиры,премиум,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1419,3,534,Алые Паруса корп. 5-1,корпус 5-1,"Россия, Москва, Авиационная улица, 77к1",Квартиры,премиум,0 - Нет,ДКП,4 кв 2016,сдан_ГК
1420,4,535,Альбатрос корп. 6 (2),корпус 6 (2),"Россия, Москва, улица Твардовского, 12к2",Квартиры,комфорт,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1422,5,536,Английский квартал,корпус 1,"Россия, Москва, Мытная улица, 7с1",Квартиры,премиум,0 - Нет,ДКП,3 кв 2013,сдан_ГК
1425,6,539,Балтийский квартет,корпус 1,"Россия, Москва, бульвар Яна Райниса, 31",Квартиры,комфорт,0 - Нет,ДКП,2 кв 2013,сдан_ГК
1426,7,540,Баркли Парк,корпус 1,"Россия, Москва, улица Советской Армии, 6",Квартиры,де-люкс,0 - Нет,ДКП,4 кв 2013,сдан_ГК
1427,7,541,Баркли Резиденс,корпус 1,"Орджоникидзе ул., влад. 1",Квартиры,премиум,1 - Есть,ДКП,4 кв 2017,сдан_ГК
1428,3,542,Баррин Хаус,корпус 1,"Россия, Москва, Малая Пироговская улица, 8",Квартиры,де-люкс,0 - Нет,ДКП,1 кв 2016,сдан_ГК
1431,8,545,Богородский блок А,блок А,"Россия, Москва, бульвар Маршала Рокоссовского, 6к1А",Квартиры,комфорт,0 - Нет,ДКП,3 кв 2012,сдан_ГК
1440,9,547,Бориса Жигуленкова 7-9,корпус 1,"Россия, Москва, улица Бориса Жигулёнкова, 7",Квартиры,комфорт,0 - Нет,ДКП,2 кв 2013,сдан_ГК
1441,10,548,Булгаков,корпус 1,"Козихинский Б. пер., влад. 25",Квартиры,де-люкс,0 - Нет,ДКП,1 кв 2015,сдан_ГК
1442,11,549,Вайн Хаус корп. 57,корпус 57,"Садовническая ул., 57",Апартаменты,премиум,0 - Нет,ДКП,3 кв 2016,сдан_ГК
1446,12,551,Велтон Парк корп. 9,корпус 9,"Маршала Жукова просп., влад. 43",Квартиры,бизнес,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1447,12,551,Велтон Парк корп. 7,корпус 7,"Маршала Жукова просп., влад. 43",Квартиры,бизнес,0 - Нет,ДКП,4 кв 2014,сдан_ГК
1449,13,553,Виноградный корп. 1,корпус 1,"Россия, Москва, Измайловский проезд, 10к1",Квартиры,бизнес,0 - Нет,ДКП,1 кв 2015,сдан_ГК
1450,13,553,Виноградный корп. 2,корпус 2,"Россия, Москва, Измайловский проезд, 10к2",Квартиры,бизнес,0 - Нет,ДКП,1 кв 2015,сдан_ГК
1451,13,553,Виноградный корп. 3,корпус 3,"Россия, Москва, Измайловский проезд, 10к3",Квартиры,бизнес,0 - Нет,ДКП,1 кв 2015,сдан_ГК
1452,13,553,Виноградный корп. 4,корпус 4,"Россия, Москва, Измайловский проезд, 10к4",Квартиры,бизнес,0 - Нет,ДКП,1 кв 2015,сдан_ГК
1458,14,555,Город Столиц,корпус 1,"Пресненская наб., 8",Апартаменты,премиум,1 - Есть,ДКП,4 кв 2010,сдан_ГК
1459,14,556,Город Яхт,корпус 1,"Россия, Москва, Ленинградское шоссе, 37к1",Квартиры,премиум,0 - Нет,ДКП,2 кв 2011,сдан_ГК
1461,3,558,Гранд Де-Люкс,корпус 1,"Россия, Москва, Погодинская улица, 4",Квартиры,де-люкс,0 - Нет,ДКП,3 кв 2014,сдан_ГК
1462,15,559,Даниловская Мануфактура,корпус 1,"Варшавское шоссе, 9 стр. 1",Апартаменты,бизнес,0 - Нет,ДКП,4 кв 2013,сдан_ГК
1463,16,560,Дворец на Яузе,корпус 1,"Россия, Москва, Наставнический переулок, 3",Квартиры,премиум,0 - Нет,ДКП,1 кв 2016,сдан_ГК
1464,17,561,Дирижабль,корпус 1,"Россия, Москва, Профсоюзная улица, 64к2",Квартиры,премиум,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1465,18,562,Дом на Гиляровского,корпус 1,"Россия, Москва, улица Гиляровского, 55",Квартиры,премиум,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1467,19,564,Дом на Трубецкой,корпус 1,"Россия, Москва, Трубецкая улица, 10",Квартиры,премиум,0 - Нет,ДКП,4 кв 2014,сдан_ГК
1468,20,565,Донское подворье,корпус 1,"Донской 3-й пр., 1",Квартиры,премиум,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1479,21,572,Империя Тауэр,корпус 1,"Пресненская наб., 4",Апартаменты,де-люкс,0 - Нет,ДКП,4 кв 2011,сдан_ГК
1480,14,573,Имперский Дом,корпус 1,"Якиманский пер., 6",Квартиры,де-люкс,0 - Нет,ДКП,4 кв 2012,сдан_ГК
1489,15,576,Кадашевские палаты,корпус 1,"Кадашевский 3-й пер., 7/9",Апартаменты,премиум,0 - Нет,ДКП,4 кв 2014,сдан_ГК
1491,22,578,Утесов корп. 1,корпус 1,"Карамышевская наб., влад. 1",Квартиры,бизнес,0 - Нет,ДКП,1 кв 2019,сдан_ГК
