id,developer_id,name,name_eng,region,region_city,district_direction,atd,zone,lat,lng
529,1,О7,,Москва,Очаково-Матвеевское,ЗАО,ЗАО,3) от ~ТТК до МКАД,55.68285,37.46193
533,2,Аквамарин,,Москва,Замоскворечье,ЦАО,ЦАО,1) внутри СК,55.7396,37.6382
534,3,Алые Паруса,,Москва,Щукино,СЗАО,СЗАО,3) от ~ТТК до МКАД,55.809,37.451
535,4,Альбатрос,,Москва,Строгино,СЗАО,СЗАО,3) от ~ТТК до МКАД,55.79335,37.39852
536,5,Английский квартал,,Москва,Замоскворечье,ЦАО,ЦАО,2) от СК до ~ТТК,55.72229,37.61861
539,6,Балтийский квартет,,Москва,Южное Тушино,СЗАО,СЗАО,3) от ~ТТК до МКАД,55.84826,37.41978
540,7,Баркли Парк,Barkli Park,Москва,Мещанский,ЦАО,ЦАО,2) от СК до ~ТТК,55.78679,37.61765
541,7,Баркли Резиденс,Barkli Residence,Москва,Донской,ЮАО,ЮАО,2) от СК до ~ТТК,55.71087,37.60524
542,3,Баррин Хаус,Barrin House,Москва,Хамовники,ЦАО,ЦАО,2) от СК до ~ТТК,55.72989,37.57004
545,8,Богородский (Москва),На Рокоссовского,Москва,Богородское,ВАО,ВАО,3) от ~ТТК до МКАД,55.80997,37.72798
547,9,Бориса Жигуленкова 7-9,,Москва,Соколиная Гора,ВАО,ВАО,3) от ~ТТК до МКАД,55.77566,37.73321
548,10,Булгаков,,Москва,Пресненский,ЦАО,ЦАО,1) внутри СК,55.76476,37.59459
549,11,Вайн Хаус,Wine House,Москва,Замоскворечье,ЦАО,ЦАО,1) внутри СК,55.74063,37.6409
551,12,Велтон Парк,Welton Park,Москва,Хорошево-Мневники,СЗАО,СЗАО,3) от ~ТТК до МКАД,55.77452,37.46936
553,13,Виноградный,,Москва,Измайлово,ВАО,ВАО,3) от ~ТТК до МКАД,55.79403,37.77114
555,14,Город Столиц,,Москва,Пресненский,ЦАО,ЦАО,2) от СК до ~ТТК,55.74687,37.53898
556,14,Город Яхт,,Москва,Войковский,САО,САО,3) от ~ТТК до МКАД,55.83209,37.4851
558,3,Гранд Де-Люкс,Grand De-Luxe,Москва,Хамовники,ЦАО,ЦАО,2) от СК до ~ТТК,55.73519,37.57146
559,15,Даниловская Мануфактура,,Москва,Донской,ЮАО,ЮАО,2) от СК до ~ТТК,55.69991,37.62577
560,16,Дворец на Яузе,,Москва,Таганский,ЦАО,ЦАО,2) от СК до ~ТТК,55.75173,37.66455
561,17,Дирижабль,,Москва,Обручевский,ЮЗАО,ЮЗАО,3) от ~ТТК до МКАД,55.66584,37.54815
562,18,Дом на Гиляровского,,Москва,Мещанский,ЦАО,ЦАО,2) от СК до ~ТТК,55.78559,37.63339
564,19,Дом на Трубецкой,,Москва,Хамовники,ЦАО,ЦАО,2) от СК до ~ТТК,55.7272,37.57565
565,20,Донское подворье,,Москва,Донской,ЮАО,ЮАО,2) от СК до ~ТТК,55.71066,37.5993
572,21,Империя Тауэр,Imperia Tower,Москва,Пресненский,ЦАО,ЦАО,2) от СК до ~ТТК,55.74733,37.54113
573,14,Имперский Дом,,Москва,Якиманка,ЦАО,ЦАО,1) внутри СК,55.73349,37.60997
576,15,Кадашевские палаты,,Москва,Якиманка,ЦАО,ЦАО,1) внутри СК,55.74161,37.62331
578,22,Утесов,,Москва,Хорошево-Мневники,СЗАО,СЗАО,3) от ~ТТК до МКАД,55.76927,37.4939
580,15,Клеркенвел Хаус,Clerkenwell House,Москва,Хамовники,ЦАО,ЦАО,2) от СК до ~ТТК,55.72179,37.57295
581,23,Клубный дом на Смоленском,,Москва,Хамовники,ЦАО,ЦАО,1) внутри СК,55.74277,37.58588
584,24,Кутузовская миля / Триумфальный,,Москва,Фили-Давыдково,ЗАО,ЗАО,3) от ~ТТК до МКАД,55.72512,37.46751
585,25,Лавров 8,,Москва,Таганский,ЦАО,ЦАО,2) от СК до ~ТТК,55.73353,37.66003
589,9,Лечебная 14,,Москва,Соколиная Гора,ВАО,ВАО,3) от ~ТТК до МКАД,55.78947,37.73726
590,11,Литератор,,Москва,Хамовники,ЦАО,ЦАО,2) от СК до ~ТТК,55.73513,37.58382
591,26,Лобачевский,,Москва,Раменки,ЗАО,ЗАО,3) от ~ТТК до МКАД,55.69384,37.4701
593,3,Лосиный остров,,Москва,Богородское,ВАО,ВАО,3) от ~ТТК до МКАД,55.82033,37.70197
603,27,Мельникова 1-3,,Москва,Южнопортовый,ЮВАО,ЮВАО,2) от СК до ~ТТК,55.72582,37.6766
604,28,Арт Хаус,Art House Loft House Лофт Хаус,Москва,Таганский,ЦАО,ЦАО,1) внутри СК,55.7499,37.64954
